state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Michoacán,Income,-0.441312879058152,5606,300,16036
Michoacán,Access To Health Services,-0.41485714285714287,875,300,16036
Michoacán,Educational Lag,-0.18063014679556033,2793,300,16036
Michoacán,Access To Social Security,-0.2661469933184855,449,300,16036
Michoacán,Housing,-0.6291079812206573,639,300,16036
Michoacán,Access To Food,-0.4366453965360073,1097,300,16036
Michoacán,Social Cohesion,-0.20923161967938086,1809,300,16036
