state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Nuevo León,Income,-0.38346094946401227,3265,300,8982
Nuevo León,Access To Health Services,-0.37349397590361444,664,300,8982
Nuevo León,Educational Lag,-0.11661698956780923,1342,300,8982
Nuevo León,Access To Social Security,-0.5338345864661654,133,300,8982
Nuevo León,Housing,-0.4995475113122172,1105,300,8982
Nuevo León,Access To Food,-0.4155722326454034,533,300,8982
Nuevo León,Social Cohesion,-0.17837235228539577,897,300,8982
