state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Campeche,Income,-0.5613645538958417,2477,300,21570
Campeche,Access To Health Services,-0.18156108597285067,884,300,21570
Campeche,Educational Lag,-0.17833247555326814,5829,300,21570
Campeche,Access To Social Security,-0.48884892086330933,1390,300,21570
Campeche,Housing,-0.39352428393524286,1606,300,21570
Campeche,Access To Food,-0.2987951807228916,415,300,21570
Campeche,Social Cohesion,-0.02664504170528267,2158,300,21570
