state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Baja California,Income,-0.4906716417910448,536,300,6178
Baja California,Access To Health Services,-0.49206349206349204,504,300,6178
Baja California,Educational Lag,-0.1825657894736842,1520,300,6178
Baja California,Access To Social Security,-0.369179600886918,451,300,6178
Baja California,Housing,-0.41950113378684806,441,300,6178
Baja California,Access To Food,-0.26136363636363635,132,300,6178
Baja California,Social Cohesion,-0.13053613053613053,858,300,6178
