state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Guanajuato,Income,-0.43942731277533037,908,300,8987
Guanajuato,Access To Health Services,-0.4132231404958678,605,300,8987
Guanajuato,Educational Lag,-0.19657047260560434,2391,300,8987
Guanajuato,Access To Social Security,-0.3443649373881932,559,300,8987
Guanajuato,Housing,-0.404320987654321,648,300,8987
Guanajuato,Access To Food,0.14497041420118342,169,300,8987
Guanajuato,Social Cohesion,-0.14259429622815087,1087,300,8987
