state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Guerrero,Income,-0.33152618657937805,4888,300,15641
Guerrero,Access To Health Services,-0.3024193548387097,992,300,15641
Guerrero,Educational Lag,0.042286874154262515,2956,300,15641
Guerrero,Access To Social Security,-0.3279569892473118,372,300,15641
Guerrero,Housing,-0.4683860232945091,601,300,15641
Guerrero,Access To Food,-0.2840909090909091,1012,300,15641
Guerrero,Social Cohesion,-0.010645604395604396,1456,300,15641
