state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
San Luis Potosí,Income,-0.45432250153280196,1631,300,5101
San Luis Potosí,Access To Health Services,-0.43737373737373736,495,300,5101
San Luis Potosí,Educational Lag,-0.2583682008368201,956,300,5101
San Luis Potosí,Access To Social Security,-0.46875,128,300,5101
San Luis Potosí,Housing,-0.5631768953068592,277,300,5101
San Luis Potosí,Access To Food,-0.43870967741935485,310,300,5101
San Luis Potosí,Social Cohesion,-0.32152974504249293,706,300,5101
