state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Baja California Sur,Income,-0.38085106382978723,235,300,3437
Baja California Sur,Access To Health Services,-0.3314176245210728,261,300,3437
Baja California Sur,Educational Lag,-0.012235817575083427,899,300,3437
Baja California Sur,Access To Social Security,-0.2075,200,300,3437
Baja California Sur,Housing,-0.28609625668449196,561,300,3437
Baja California Sur,Access To Food,-0.3,65,300,3437
Baja California Sur,Social Cohesion,0.21287128712871287,303,300,3437
