state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Querétaro,Income,-0.5452845866223515,2407,300,33376
Querétaro,Access To Health Services,-0.4636485280999108,2242,300,33376
Querétaro,Educational Lag,-0.29877129940883274,8627,300,33376
Querétaro,Access To Social Security,-0.46345407503234154,1546,300,33376
Querétaro,Housing,-0.43008314436885864,1323,300,33376
Querétaro,Access To Food,-0.3256972111553785,502,300,33376
Querétaro,Social Cohesion,-0.33142001497379586,4007,300,33376
