state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Quintana Roo,Income,-0.48165529010238906,1172,300,2890
Quintana Roo,Access To Health Services,-0.4825,200,300,2890
Quintana Roo,Educational Lag,-0.19924812030075187,532,300,2890
Quintana Roo,Access To Social Security,-0.32407407407407407,54,300,2890
Quintana Roo,Housing,-0.6045454545454545,220,300,2890
Quintana Roo,Access To Food,-0.3538135593220339,236,300,2890
Quintana Roo,Social Cohesion,-0.2033132530120482,332,300,2890
