state,dimension,avg_sentiment,mentions_count,percentage_of_total,videos_analyzed,comments_analyzed
Zacatecas,Income,-0.45265672506153176,6907,37.979764654129546,300,18448
Zacatecas,Access To Health Services,-0.42245989304812837,1122,6.169580996370835,300,18448
Zacatecas,Educational Lag,-0.17954775565305434,2963,16.292752666886617,300,18448
Zacatecas,Access To Social Security,-0.4813780260707635,537,2.952820851204223,300,18448
Zacatecas,Housing,-0.5826271186440678,708,3.8931045859452325,300,18448
Zacatecas,Access To Food,-0.4467382328654005,1211,6.65896843725943,300,18448
Zacatecas,Social Cohesion,-0.2721881390593047,2445,13.444407786209172,300,18448
Zacatecas,Other,-0.6164413432184911,2293,12.608600021994942,300,18448
