state,dimension,avg_sentiment,mentions_count,percentage_of_total,videos_analyzed,comments_analyzed
San Luis Potosí,Income,-0.47604608853850816,1649,32.29533881707795,300,4980
San Luis Potosí,Access To Health Services,-0.46875,464,9.087348217783001,300,4980
San Luis Potosí,Educational Lag,-0.2105549510337323,919,17.99843321582452,300,4980
San Luis Potosí,Access To Social Security,-0.43023255813953487,129,2.526439482961222,300,4980
San Luis Potosí,Housing,-0.6215686274509804,255,4.99412455934195,300,4980
San Luis Potosí,Access To Food,-0.4437984496124031,258,5.052878965922444,300,4980
San Luis Potosí,Social Cohesion,-0.3078541374474053,713,13.963963963963963,300,4980
San Luis Potosí,Other,-0.7030598052851182,719,14.08147277712495,300,4980
