state,dimension,avg_sentiment,mentions_count,percentage_of_total,videos_analyzed,comments_analyzed
Nuevo León,Income,-0.39047082041161546,3547,35.98092919456279,300,9910
Nuevo León,Access To Health Services,-0.32047685834502104,713,7.232704402515723,300,9910
Nuevo León,Educational Lag,-0.11441256830601093,1464,14.850882531953744,300,9910
Nuevo León,Access To Social Security,-0.38562091503267976,153,1.55203895313451,300,9910
Nuevo León,Housing,-0.4878815080789946,1114,11.300466626090484,300,9910
Nuevo León,Access To Food,-0.35489833641404805,541,5.487928585920065,300,9910
Nuevo León,Social Cohesion,-0.16553398058252428,1030,10.448366808683303,300,9910
Nuevo León,Other,-0.5617283950617284,1296,13.146682897139378,300,9910
