state,dimension,avg_sentiment,mentions_count,percentage_of_total,videos_analyzed,comments_analyzed
Campeche,Income,-0.4822860475287943,6859,41.75697065627663,300,16623
Campeche,Access To Health Services,-0.29751461988304095,684,4.164130037745038,300,16623
Campeche,Educational Lag,-0.0965306778027626,3113,18.95166199926945,300,16623
Campeche,Access To Social Security,-0.4297082228116711,377,2.295141848289297,300,16623
Campeche,Housing,-0.47977755308392317,989,6.020942408376963,300,16623
Campeche,Access To Food,-0.38687150837988826,1074,6.53841470838914,300,16623
Campeche,Social Cohesion,-0.03843861740166865,1678,10.215511993181542,300,16623
Campeche,Other,-0.5744552058111381,1652,10.057226348471934,300,16623
