state,dimension,avg_sentiment,mentions_count,percentage_of_total,videos_analyzed,comments_analyzed
Morelos,Income,-0.5366336633663367,3030,39.66487760178033,300,7559
Morelos,Access To Health Services,-0.4909240924092409,606,7.932975520356067,300,7559
Morelos,Educational Lag,-0.21381847914963206,1223,16.00994894619715,300,7559
Morelos,Access To Social Security,-0.3477157360406091,197,2.5788715800497446,300,7559
Morelos,Housing,-0.5366666666666666,300,3.927215604136667,300,7559
Morelos,Access To Food,-0.36904761904761907,378,4.948291661212201,300,7559
Morelos,Social Cohesion,-0.27464008859357697,903,11.820918968451368,300,7559
Morelos,Other,-0.653692614770459,1002,13.116900117816469,300,7559
