state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Chihuahua,Income,-0.35680304471931495,1051,300,10891
Chihuahua,Access To Health Services,-0.3834661354581673,1506,300,10891
Chihuahua,Educational Lag,-0.054313099041533544,2191,300,10891
Chihuahua,Access To Social Security,-0.4838709677419355,589,300,10891
Chihuahua,Housing,-0.26657824933687,377,300,10891
Chihuahua,Access To Food,-0.36871123363197794,1451,300,10891
Chihuahua,Social Cohesion,0.07108239095315025,1238,300,10891
