state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Guanajuato,Income,-0.4224694903086863,1393,300,18446
Guanajuato,Access To Health Services,-0.48514453961456105,3736,300,18446
Guanajuato,Educational Lag,-0.2087912087912088,3549,300,18446
Guanajuato,Access To Social Security,-0.4874141876430206,874,300,18446
Guanajuato,Housing,-0.3320079522862823,503,300,18446
Guanajuato,Access To Food,-0.41280295047418336,1898,300,18446
Guanajuato,Social Cohesion,0.00960978450786255,1717,300,18446
