state,dimension,word_count,comments_count,avg_sentiment
Guanajuato,INCOME,326,297,-0.5353535353535354
Guanajuato,ACCESS TO HEALTH SERVICES,100,92,-0.4673913043478261
Guanajuato,EDUCATIONAL LAG,7,7,-0.6428571428571429
Guanajuato,ACCESS TO SOCIAL SECURITY,37,36,-0.5555555555555556
Guanajuato,HOUSING,51,49,-0.6836734693877551
Guanajuato,ACCESS TO FOOD,204,198,-0.5176767676767676
Guanajuato,SOCIAL COHESION,95,85,-0.6588235294117647
