state,access_to_food_pct_tg,access_to_health_services_pct_tg,access_to_social_security_pct_tg,educational_lag_pct_tg,housing_pct_tg,income_pct_tg,other_pct_tg,social_cohesion_pct_tg
Aguascalientes,0.0,26.31578947368421,36.84210526315789,10.526315789473683,0.0,21.052631578947366,5.263157894736842,0.0
Baja California,0.0,37.142857142857146,25.71428571428571,0.0,0.0,22.857142857142858,14.285714285714285,0.0
Baja California Sur,0.0,57.14285714285714,28.57142857142857,0.0,0.0,0.0,14.285714285714285,0.0
Campeche,4.444444444444445,33.33333333333333,24.444444444444443,13.333333333333334,0.0,8.88888888888889,15.555555555555555,0.0
Chiapas,6.382978723404255,46.808510638297875,20.212765957446805,11.702127659574469,1.0638297872340423,9.574468085106384,3.1914893617021276,1.0638297872340423
Chihuahua,8.870967741935484,33.87096774193548,23.387096774193548,5.64516129032258,5.64516129032258,12.903225806451612,7.258064516129033,2.4193548387096775
Ciudad de México,0.0,41.30434782608695,21.73913043478261,4.3478260869565215,0.0,26.08695652173913,4.3478260869565215,2.1739130434782608
Coahuila,3.061224489795918,37.755102040816325,31.63265306122449,5.1020408163265305,1.020408163265306,13.26530612244898,4.081632653061225,4.081632653061225
Colima,1.9230769230769231,36.53846153846153,25.0,0.0,5.769230769230769,21.153846153846153,9.615384615384617,0.0
Durango,0.0,35.714285714285715,21.428571428571427,10.714285714285714,3.571428571428571,28.57142857142857,0.0,0.0
Estado de México,0.0,44.44444444444444,0.0,0.0,0.0,22.22222222222222,33.33333333333333,0.0
Guanajuato,1.951219512195122,28.292682926829265,27.31707317073171,5.853658536585367,5.365853658536586,20.48780487804878,9.75609756097561,0.975609756097561
Guerrero,0.9708737864077668,30.097087378640776,30.097087378640776,5.825242718446602,7.766990291262135,19.41747572815534,4.854368932038835,0.9708737864077668
Hidalgo,1.8867924528301887,28.30188679245283,44.33962264150944,0.9433962264150944,2.8301886792452833,13.20754716981132,3.7735849056603774,4.716981132075472
Jalisco,1.0362694300518136,42.487046632124354,18.65284974093264,4.145077720207254,4.66321243523316,24.870466321243523,2.5906735751295336,1.5544041450777202
Michoacán,0.0,40.0,21.333333333333336,6.666666666666667,2.666666666666667,22.666666666666664,6.666666666666667,0.0
Morelos,0.0,40.78947368421053,34.21052631578947,0.0,3.9473684210526314,11.842105263157894,5.263157894736842,3.9473684210526314
Nayarit,0.0,43.333333333333336,33.33333333333333,0.0,6.666666666666667,3.3333333333333335,13.333333333333334,0.0
Nuevo León,1.36986301369863,52.054794520547944,21.91780821917808,1.36986301369863,0.0,20.54794520547945,1.36986301369863,1.36986301369863
Oaxaca,1.5384615384615383,50.0,20.0,4.615384615384616,2.307692307692308,18.461538461538463,2.307692307692308,0.7692307692307693
Puebla,1.36986301369863,33.56164383561644,23.28767123287671,8.21917808219178,10.273972602739724,17.123287671232877,1.36986301369863,4.794520547945205
Querétaro,0.0,27.47252747252747,40.65934065934066,2.197802197802198,0.0,29.67032967032967,0.0,0.0
Quintana Roo,0.0,38.23529411764706,29.411764705882355,0.0,0.0,29.411764705882355,2.941176470588235,0.0
San Luis Potosí,0.0,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0
Sinaloa,2.666666666666667,37.333333333333336,25.333333333333336,1.3333333333333337,2.666666666666667,18.666666666666668,8.0,4.0
Sonora,0.0,31.08108108108108,37.83783783783784,1.351351351351351,5.405405405405405,16.216216216216218,4.054054054054054,4.054054054054054
Tabasco,4.477611940298507,45.52238805970149,19.402985074626866,0.7462686567164178,2.2388059701492535,24.62686567164179,2.9850746268656714,0.0
Tamaulipas,6.8493150684931505,45.20547945205479,26.027397260273972,5.47945205479452,0.0,12.32876712328767,2.73972602739726,1.36986301369863
Tlaxcala,0.0,35.714285714285715,42.857142857142854,0.0,0.0,17.857142857142858,0.0,3.571428571428571
Veracruz,2.727272727272727,38.18181818181819,32.72727272727273,5.454545454545454,3.636363636363636,14.545454545454543,1.818181818181818,0.9090909090909092
Yucatán,1.7241379310344829,36.206896551724135,27.58620689655172,3.4482758620689653,1.7241379310344829,27.58620689655172,1.7241379310344829,0.0
Zacatecas,3.7037037037037033,33.33333333333333,22.22222222222222,11.11111111111111,0.0,22.22222222222222,0.0,7.4074074074074066
