state,access_to_food_avg_sentiment,access_to_health_services_avg_sentiment,access_to_social_security_avg_sentiment,educational_lag_avg_sentiment,housing_avg_sentiment,income_avg_sentiment,social_cohesion_avg_sentiment,access_to_food_pct_yt,access_to_health_services_pct_yt,access_to_social_security_pct_yt,educational_lag_pct_yt,housing_pct_yt,income_pct_yt,social_cohesion_pct_yt
Aguascalientes,-0.4201359388275276,-0.5526760563380282,-0.3957816377171216,-0.182442748091603,-0.6350224502886466,-0.4949807906803817,-0.2184520471116096,5.2650413777678375,7.940058152538581,1.8027286960411542,14.64996645045851,6.973831357638112,36.0948333706106,7.9758443301274875
Baja California,-0.3778026905829596,-0.5353430353430353,-0.4093264248704663,-0.223756906077348,-0.4827586206896552,-0.4178197064989518,-0.2397119341563786,6.584969732762438,7.1017274472168905,2.8495496825631186,16.034253654215266,5.138048132289975,35.21334711353905,14.35109995570648
Baja California Sur,-0.3175182481751825,-0.4202586206896552,-0.3584905660377358,0.0177469135802469,-0.3666666666666666,-0.2195367573011077,0.1490963855421686,7.948941108210038,6.730490281404119,3.075137800986365,18.79895561357702,12.184508268059181,28.807658833768496,9.631563678561067
Campeche,-0.4269156471345782,-0.3156146179401993,-0.4177115987460815,-0.167155118275068,-0.5042935206869633,-0.4778327662645633,-0.1248482395791177,6.225197418527277,4.826231611015352,2.5574217340762413,19.148595021445463,5.13488595823145,38.878422255180986,9.904998597025696
Chiapas,-0.3562801932367149,-0.388646288209607,-0.4268867924528302,-0.1761280931586608,-0.5167464114832536,-0.4959704499664204,-0.3093964858670741,5.032822757111598,5.567712132263555,2.5771942620957935,16.70313639679066,5.081449063943593,36.20228543642111,15.912958910770728
Chihuahua,-0.4364525139664804,-0.3803230543318649,-0.4207920792079208,-0.1525647805393971,-0.5478424015009381,-0.4400206825232678,-0.1441480206540447,6.187883501858094,5.885403163080114,2.6186155042779364,16.342580589404545,4.606343444818943,41.785498228329445,10.042347247428918
Ciudad de México,-0.3409302325581395,-0.4385906040268456,-0.4722921914357683,-0.1199921445404556,-0.519155206286837,-0.4236769654328541,-0.1411996497373029,5.5922592727461895,7.751131457108672,2.06523435467929,13.244550798522603,10.591478957498829,34.011340581594965,11.881600166467253
Coahuila,-0.2802690582959641,-0.1940581542351453,-0.427579365079365,0.0226814516129032,-0.5902777777777778,-0.2543066689408153,0.0346756152125279,4.695395845030881,5.551656372824256,3.537338573834924,13.924761370016844,6.569343065693431,41.14963503649635,12.549129702414374
Colima,-0.3695167286245353,-0.3857638888888889,-0.3790849673202614,-0.1458826624572481,-0.544280442804428,-0.3766598569969356,-0.1257682177348551,6.1376289130236374,6.571141735876608,2.792735237747559,17.345076206990964,3.7099571050470024,35.73970977457333,10.395181162727024
Durango,-0.3530741410488246,-0.4236613603473227,-0.2073991031390134,0.0001756851721714,-0.5137211855104281,-0.3168381665107577,-0.000595238095238,6.584509138536642,8.227659701137108,2.6552360540572724,16.943501815800442,5.423587545395011,31.821158540215517,10.001786033220219
Estado de México,-0.3972758229284903,-0.4479768786127168,-0.3645533141210375,-0.2051502145922746,-0.6092931937172775,-0.4608670631114521,-0.1769398114575779,6.5239928909952605,7.686611374407583,2.5696090047393363,17.254146919431278,5.657582938388626,38.603376777251185,10.211789099526067
Guanajuato,-0.3644067796610169,-0.437192118226601,-0.3156862745098039,-0.128440366972477,-0.5693012600229095,-0.4357050079376533,-0.2152487215248721,5.923694779116466,6.436271401395054,2.6949904882688647,16.703656732191927,4.613189600507292,36.614880574931306,11.366518706404566
Guerrero,-0.2840909090909091,-0.3024193548387097,-0.3279569892473118,0.0422868741542625,-0.4683860232945091,-0.331526186579378,-0.0106456043956043,6.470174541269739,6.34230547918931,2.3783645546959913,18.899047375487502,3.842465315516911,31.251198772457006,9.308867719455277
Hidalgo,-0.2657295850066934,-0.3024096385542169,-0.3962264150943396,0.0199324324324324,-0.5078125,-0.3222730739893211,0.1370192307692307,9.695003244646333,5.386112913692408,2.063595068137573,19.208306294613887,5.81440622972096,34.02985074626866,10.798182998053212
Jalisco,-0.1927083333333333,-0.4065420560747663,-0.2045454545454545,0.0052631578947368,-0.4112903225806452,-0.4174174174174174,-0.0854092526690391,5.828779599271402,6.49666059502125,2.671523982999393,23.0722525804493,3.764420157862781,40.43715846994536,17.06132361870067
Michoacán,-0.4366453965360073,-0.4148571428571428,-0.2661469933184855,-0.1806301467955603,-0.6291079812206573,-0.441312879058152,-0.2092316196793808,6.840858069343976,5.456472935894238,2.7999501122474433,17.417061611374407,3.984784235470192,34.958842604140685,11.280868046894488
Morelos,-0.4409486931268151,-0.492330383480826,-0.4099783080260303,-0.2476453393959077,-0.5395010395010394,-0.5200913242009132,-0.2767947421638018,5.2417922565585835,8.601004719135332,2.339270310042117,15.62388998832902,4.881514182777693,38.89480895113412,10.037042675191556
Nayarit,-0.2918250950570342,-0.337797619047619,-0.3799283154121863,0.0187778485041374,-0.4064602960969044,-0.2974821262045384,0.0573065902578796,5.748633879781421,7.344262295081967,3.0491803278688523,17.169398907103826,8.120218579234972,35.15846994535519,11.442622950819672
Nuevo León,-0.4155722326454034,-0.3734939759036144,-0.5338345864661654,-0.1166169895678092,-0.4995475113122172,-0.3834609494640122,-0.1783723522853957,5.934090403028279,7.392562903584948,1.4807392562903585,14.940993097305721,12.302382542863505,36.350478735248274,9.986639946559785
Oaxaca,-0.2814625850340136,-0.3155430711610487,-0.4,-0.0135338345864661,-0.361228813559322,-0.3037464985994397,-0.0341191066997518,7.541362062331666,6.848787995382839,2.116198537899192,17.05784276003591,6.053610362960113,36.629472874182376,10.337309221495447
Puebla,-0.4205378973105134,-0.5596330275229358,-0.4859154929577465,-0.2350498338870432,-0.555956678700361,-0.499224405377456,-0.1287878787878787,10.19695836449763,5.43505360259287,3.5402642732485665,15.008726003490402,6.906008476689104,48.217402144103716,6.581899775617053
Querétaro,-0.4521435692921236,-0.3710852148579752,-0.3888888888888889,-0.2622564424890006,-0.5666058394160584,-0.4699799196787149,-0.3361272665070133,5.7637053212274445,7.889897712906563,1.6549821859556373,18.285254568440408,3.1490633260544763,28.617400298816225,16.796919894265027
Quintana Roo,-0.3538135593220339,-0.4825,-0.324074074074074,-0.1992481203007518,-0.6045454545454545,-0.481655290102389,-0.2033132530120482,8.166089965397925,6.920415224913495,1.8685121107266434,18.408304498269896,7.612456747404845,40.55363321799308,11.487889273356402
San Luis Potosí,-0.4387096774193548,-0.4373737373737373,-0.46875,-0.2583682008368201,-0.5631768953068592,-0.4543225015328019,-0.3215297450424929,6.0772397569104095,9.703979611840815,2.509311899627524,18.741423250343068,5.430307782787689,31.97412272103509,13.840423446383063
Sinaloa,-0.3447986577181208,-0.3893728222996516,-0.2959641255605381,-0.0752933507170795,-0.4655172413793103,-0.3796595245083651,-0.1008158508158508,6.521501258343363,6.280774701827334,2.4400919137761243,16.78520625889047,4.442499179341285,37.27978991136886,9.388335704125177
Sonora,-0.2761363636363636,-0.2996632996632997,0.0703703703703703,0.0878425860857343,-0.3349056603773584,-0.22693940563489,0.1014492753623188,5.981511691136488,4.037520391517129,3.6704730831973897,19.344752582925505,5.76400217509516,35.22294725394236,10.318107667210441
Tabasco,-0.3395802098950525,-0.2241379310344827,-0.1694214876033057,0.0997699827487061,-0.5106571936056838,-0.2124763257575757,0.1831566548881036,6.530252594478167,5.39455649109066,2.3692970432739378,17.025651067162716,5.512042294889367,41.355002937145095,8.312120618758566
Tamaulipas,-0.4056372549019608,-0.3003384094754653,-0.2971014492753623,-0.0487493619193466,-0.5103686635944701,-0.3822952961672474,-0.0917114351496546,6.9827143590621255,5.0573335615266135,3.5427006674653434,16.76364881054253,3.7138456272462776,39.294882765702546,11.15009412972788
Tlaxcala,-0.3634969325153374,-0.429054054054054,-0.3584070796460177,-0.0502645502645502,-0.5366666666666666,-0.3485623003194888,-0.2010968921389396,7.8592092574734815,7.135969141755062,2.7242044358727098,18.225650916104147,3.616200578592092,37.729026036644164,13.187078109932498
Veracruz,-0.2596153846153846,-0.2888446215139442,-0.3418367346938775,-0.0143312101910828,-0.4736842105263157,-0.3452571063557968,-0.0594817432273262,6.305323147811325,6.087061961925548,2.376621801867346,19.037225657814965,5.990056990420759,37.96532072268704,10.294652600945799
Yucatán,-0.3116710875331565,-0.3480392156862745,-0.3586206896551724,0.0245700245700245,-0.5838762214983714,-0.2669313404950957,-0.0362438220757825,6.151085005710557,6.656877141458639,2.365801925273291,19.92168379833578,10.017947462881384,34.93228911731114,9.903736335454397
Zacatecas,-0.4401444788441692,-0.4362694300518134,-0.4084362139917695,-0.1562616822429906,-0.5284178187403994,-0.4462168030733255,-0.2666666666666666,5.995916094301095,5.97116515067137,3.007239651011695,16.552193552379187,4.0282160757378875,37.04597487779221,13.736773714497867
