state,dimension,word_count,comments_count,avg_sentiment
Jalisco,INCOME,389,350,-0.5071428571428571
Jalisco,ACCESS TO HEALTH SERVICES,102,95,-0.5263157894736842
Jalisco,EDUCATIONAL LAG,8,8,-0.4375
Jalisco,ACCESS TO SOCIAL SECURITY,49,45,-0.6666666666666666
Jalisco,HOUSING,41,36,-0.6527777777777778
Jalisco,ACCESS TO FOOD,177,166,-0.4789156626506024
Jalisco,SOCIAL COHESION,73,68,-0.5294117647058824
