state,dimension,word_count,comments_count,avg_sentiment
Tamaulipas,INCOME,325,309,-0.5485436893203883
Tamaulipas,ACCESS TO HEALTH SERVICES,108,102,-0.5441176470588235
Tamaulipas,EDUCATIONAL LAG,6,6,-0.25
Tamaulipas,ACCESS TO SOCIAL SECURITY,37,33,-0.8181818181818182
Tamaulipas,HOUSING,72,67,-0.6119402985074627
Tamaulipas,ACCESS TO FOOD,176,167,-0.5778443113772455
Tamaulipas,SOCIAL COHESION,68,66,-0.5
