state,FOVISSSTE,PromoDescuentos,agua potable,apoyo Infonavit,ayuda alimentaria,ayuda renta,banco de alimentos,becas,centro de salud,comedor comunitario,comida barata,conflictos,crisis,desempleo,discriminación,enfermedad,escuela secundaria,pensiones,pobreza,receta pobre,renta barata,seguro social,servicios en la vivienda,tianguis,tiendeo,violencia,vivienda del gobierno,Education_Dimension,Food_Dimension,Health_Dimension,Housing_Dimension,Income_Dimension,Social_Cohesion_Dimension,Social_Security_Dimension
MX-AGU,5.0,0.83,1.42,2.08,0.0,0.0,0.0,31.92,4.17,0.0,0.0,20.83,21.58,11.58,25.67,25.25,6.75,7.67,9.67,0.0,0.0,66.25,0.0,1.0,0.0,11.58,0.0,19.34,0.92,14.71,2.83,14.28,19.36,36.96
MX-BCN,29.5,9.5,18.33,48.67,0.0,0.0,0.0,20.67,5.75,0.0,0.0,31.83,22.0,13.42,30.25,21.92,4.33,6.92,9.08,1.5,0.0,74.83,0.0,30.0,0.5,7.5,0.0,12.5,10.38,13.84,32.17,14.83,23.19,40.88
MX-BCS,30.42,0.5,11.67,0.0,0.0,0.0,0.0,6.17,1.17,0.0,0.0,4.17,2.17,0.92,4.75,5.83,0.92,1.25,0.92,0.0,0.0,10.75,0.0,1.33,0.0,2.83,0.0,3.54,0.92,3.5,21.04,1.34,3.92,6.0
MX-CAM,1.83,34.5,1.42,0.0,0.0,0.0,0.0,8.33,0.58,0.0,0.0,39.0,3.83,1.5,38.5,5.67,1.08,1.0,1.92,0.0,0.0,5.83,0.0,18.67,0.0,3.0,0.0,4.7,26.58,3.12,1.62,2.42,26.83,3.42
MX-CHP,7.5,5.25,2.5,0.0,0.0,0.17,0.0,8.58,0.83,0.0,0.0,21.33,7.0,2.25,24.08,7.17,1.08,1.33,3.75,0.0,0.0,15.25,0.0,3.75,0.08,3.58,3.25,4.83,3.03,4.0,3.36,4.33,16.33,8.29
MX-CHH,26.17,38.92,8.0,24.42,0.0,0.0,0.0,23.08,2.33,0.0,0.0,31.58,13.25,8.25,39.0,20.33,2.92,53.83,6.33,0.0,0.0,76.17,0.0,34.42,17.17,9.5,0.0,13.0,30.17,11.33,19.53,9.28,26.69,65.0
MX-COA,17.5,6.0,5.83,2.33,0.17,0.0,0.17,27.67,2.67,0.0,0.0,35.0,11.42,9.42,40.0,28.67,4.5,13.0,6.25,0.0,0.0,73.83,0.0,5.08,1.17,11.58,0.0,16.08,2.52,15.67,8.55,9.03,28.86,43.42
MX-COL,4.0,25.83,1.08,0.0,0.0,0.0,0.0,24.33,2.58,0.83,0.0,30.5,4.33,1.83,33.5,20.33,2.75,13.33,2.17,0.0,0.0,64.5,0.0,49.83,5.33,9.33,0.0,13.54,20.45,11.45,2.54,2.78,24.44,38.92
MX-DUR,9.75,35.17,2.17,0.83,0.0,0.0,0.0,10.08,1.08,0.0,0.0,6.75,19.58,10.75,7.92,7.5,1.42,7.75,9.67,0.0,0.08,21.08,0.0,52.83,1.17,3.42,0.0,5.75,29.72,4.29,3.21,13.33,6.03,14.42
MX-GUA,13.5,39.0,7.58,9.75,0.0,0.0,0.83,22.33,2.17,0.0,0.25,30.17,10.58,6.0,32.33,14.17,2.83,8.33,5.17,0.0,0.0,64.83,0.0,61.58,3.25,7.58,0.0,12.58,20.98,8.17,10.28,7.25,23.36,36.58
MX-GRO,41.0,14.17,13.17,0.0,0.33,0.0,0.0,11.83,0.92,0.0,0.0,35.75,4.83,1.42,43.42,7.75,1.25,8.33,2.92,0.0,0.0,66.5,0.0,26.67,0.67,4.25,0.0,6.54,10.46,4.34,27.08,3.06,27.81,37.42
