state,FOVISSSTE,PromoDescuentos,agua potable,apoyo Infonavit,banco de alimentos,becas,centro de salud,conflictos,crisis,desempleo,discriminación,enfermedad,escuela secundaria,pensiones,pobreza,seguro social,tianguis,tiendeo,violencia,access_to_food,access_to_health_services,access_to_social_security,educational_lag,housing,income,social_cohesion
MX-AGU,5.08,1.0,1.33,3.42,0.0,27.08,4.0,26.92,24.75,14.5,21.83,21.5,4.42,9.58,9.0,62.17,0.83,0.0,9.5,0.92,12.75,35.88,15.75,3.28,16.08,19.42
MX-BCN,37.67,7.5,18.0,71.25,0.08,14.33,3.83,34.92,25.25,21.0,21.58,18.08,4.25,8.25,8.42,70.58,25.5,3.5,6.58,9.14,10.95,39.42,9.29,42.31,18.22,21.03
MX-BCS,34.67,0.75,11.75,13.83,0.0,6.83,0.92,3.75,2.92,1.42,2.75,6.08,0.83,1.75,0.83,9.58,1.0,0.0,2.67,0.88,3.5,5.66,3.83,20.08,1.72,3.06
MX-CAM,2.08,54.33,1.17,0.08,0.0,5.75,0.08,31.42,4.17,1.58,27.5,5.0,1.08,1.0,1.42,4.92,26.25,2.08,2.17,27.55,2.54,2.96,3.42,1.11,2.39,20.36
MX-CHP,10.42,5.25,2.67,0.42,0.08,7.42,0.25,16.25,7.67,2.33,13.42,6.17,1.08,1.67,3.33,14.67,4.67,0.25,2.58,2.56,3.21,8.17,4.25,4.5,4.44,10.75
MX-CHH,30.42,53.75,8.58,27.5,0.0,18.75,2.17,34.08,16.67,10.83,28.67,17.42,2.42,37.17,6.25,64.42,23.92,23.58,7.42,33.75,9.8,50.8,10.58,22.17,11.25,23.39
MX-COA,21.42,6.92,7.08,3.33,0.17,24.33,3.0,37.42,14.42,10.33,28.58,24.17,3.92,14.67,5.67,63.75,5.83,2.08,10.67,3.75,13.58,39.21,14.12,10.61,10.14,25.56
MX-COL,3.58,47.67,0.67,0.0,0.92,20.08,1.92,30.08,4.83,1.92,20.58,16.58,1.83,16.33,1.75,49.42,42.5,0.0,8.5,30.36,9.25,32.88,10.95,2.12,2.83,19.72
MX-DUR,11.92,35.58,2.67,0.92,0.0,6.0,1.08,8.08,23.0,11.67,7.08,6.42,1.25,7.42,9.42,18.17,54.5,1.5,2.92,30.53,3.75,12.8,3.62,5.17,14.7,6.03
MX-GUA,16.08,44.08,8.5,15.67,0.5,18.33,2.17,33.67,13.25,7.17,24.5,11.58,2.5,9.83,5.0,60.5,59.08,7.25,6.33,27.73,6.88,35.16,10.42,13.42,8.47,21.5
MX-GRO,46.92,17.5,13.75,0.0,0.0,8.58,0.33,32.17,5.75,1.92,31.08,6.5,1.17,8.17,2.5,53.58,20.58,0.42,3.58,12.83,3.42,30.88,4.88,30.34,3.39,22.28
MX-HID,17.67,2.33,4.92,0.42,0.25,12.42,1.75,5.08,6.67,4.33,4.25,10.17,2.25,2.5,2.92,13.83,3.33,0.0,6.83,1.97,5.96,8.16,7.34,7.67,4.64,5.39
MX-JAL,15.58,25.17,7.92,71.25,1.0,20.25,4.75,39.5,22.58,12.83,27.92,23.25,4.17,22.17,7.58,54.08,60.17,1.92,8.83,22.06,14.0,38.12,12.21,31.58,14.33,25.42
MX-DIF,21.0,53.58,4.08,58.42,0.67,25.25,7.92,36.33,24.5,30.83,32.83,28.58,13.5,18.58,8.08,56.42,57.0,5.67,15.17,29.23,18.25,37.5,19.38,27.83,21.14,28.11
MX-MIC,15.58,49.17,4.75,5.92,0.08,12.67,1.42,14.58,21.92,10.0,11.0,11.92,2.0,26.25,8.92,28.25,63.0,3.83,5.25,29.02,6.67,27.25,7.34,8.75,13.61,10.28
MX-MOR,32.17,24.58,18.92,37.75,1.75,13.33,2.42,28.42,11.5,4.92,26.92,13.42,3.0,10.75,4.25,51.42,31.25,2.25,7.08,14.96,7.92,31.08,8.16,29.61,6.89,20.81
MX-NAY,20.42,38.33,4.58,1.17,0.0,17.17,1.67,20.5,16.25,7.25,15.67,16.67,2.58,2.25,7.25,16.5,72.83,0.0,7.92,55.58,9.17,9.38,9.88,8.72,10.25,14.7
MX-NLE,11.83,63.92,6.0,19.0,0.25,19.58,8.17,34.33,19.08,13.5,25.0,31.5,4.67,14.67,6.75,67.33,30.33,12.83,11.58,26.83,19.84,41.0,12.12,12.28,13.11,23.64
MX-OAX,23.42,42.42,10.83,0.0,0.0,8.75,0.75,8.58,8.67,2.83,7.25,7.75,1.5,6.5,4.17,23.67,52.08,0.83,4.08,31.78,4.25,15.08,5.12,17.12,5.22,6.64
MX-PUE,25.33,15.83,14.08,68.0,1.25,13.83,1.0,35.58,20.5,8.17,33.17,9.5,2.0,4.58,8.42,22.83,19.08,1.5,5.92,9.41,5.25,13.7,7.92,35.8,12.36,24.89
MX-QUE,16.75,27.75,8.0,8.67,0.0,18.5,3.5,44.5,19.58,11.75,34.25,14.67,2.75,11.0,7.92,31.17,35.08,4.75,7.25,22.53,9.09,21.08,10.62,11.14,13.08,28.67
MX-ROO,6.08,9.58,1.5,2.58,0.08,9.42,1.0,3.67,18.25,15.08,3.33,7.17,1.17,3.67,6.08,26.25,12.08,0.0,3.67,7.25,4.08,14.96,5.3,3.39,13.14,3.56
MX-SLP,9.58,5.0,2.67,2.25,0.08,13.83,2.5,4.42,7.17,3.67,3.25,14.08,4.0,5.08,2.83,13.42,3.5,0.5,7.08,2.27,8.29,9.25,8.91,4.83,4.56,4.92
MX-SIN,19.17,8.42,7.17,63.17,0.33,15.75,2.17,38.5,18.08,7.17,27.83,13.83,1.5,6.92,7.17,47.58,23.58,0.75,5.58,8.27,8.0,27.25,8.62,29.84,10.81,23.97
