state,dimension,word_count,comments_count,avg_sentiment
Guanajuato,INCOME,10,9,-0.7777777777777778
Guanajuato,ACCESS TO HEALTH SERVICES,7,7,-0.5714285714285714
Guanajuato,EDUCATIONAL LAG,0,0,0.0
Guanajuato,ACCESS TO SOCIAL SECURITY,0,0,0.0
Guanajuato,HOUSING,1,1,-1.0
Guanajuato,ACCESS TO FOOD,16,15,-0.5666666666666667
Guanajuato,SOCIAL COHESION,4,3,0.3333333333333333
