,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
Guerrero,"evelyn, pingback, acapulco, local, docente, pedir, dejar, negocio, turístico, atractivo, barco, embarcación, negocio local, atractivo turístico, embarcación beauport","federal, seguridad, enero, mujer, municipio, encontrar, municipal, salud, social, juárez, recibir, autoridad, centro, vida, deber","salud, enero, estatal, comunidad, chilpancingo, salgado, obra, hospital, secretaría, policía, acapulco, informar, grupo, pesos, pueblo","periodista, asesinato, maldonado, lourdes, reportero, mayo, lourdes maldonado, tijuana, comunicación, enero, social, exigir, protección, seguridad, martínez","frío, temperatura, viento, zona, norte, ambiente, racha, lluvia, cielo, nublado, región, mínimo, mañana, sonoro, helada","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, lugar, publicar, llamado"
Hidalgo,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","mayo, redacción, criterio, criterio mayo, redacción criterio, redacción criterio mayo, mayo redacción, mayo redacción criterio, criterio mayo redacción, municipio, estatal, federal, municipal, seguridad, encontrar","pingback, miguel, irapuato, turístico, dejar, miguel allende, allende, autoridad, salud, sección, docente, snte, elección, lago, buscar","tula, municipio, hora, pachuca, afectar, espacio, venta, huejutla, felipe orizatlán, orizatlán, felipe, liberar, registrar, señalar, estatal","zona, frío, norte, ambiente, temperatura, racha, lluvia, centro, viento, grado, alto, sonoro, tamaulipa, región, coahuilo","paso, derecho, morelia, alto, remesa, proteger, mercado, aprender, presunto, emplear, sombra, operar, cártel, corazón, evitar"
Jalisco,"dvo, morelia, grupo, atletico, salud, real, serie, colonia, seccion, centro, crt, guadalupe, crt morelia, colonia guadalupe, tauro","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","periodista, paso, mecanismo, derechos, derechos humanos, humanos, cártel, presunto, alto, hijo, federal, operar, mercado, gestión, proteger","arma, lugar, grupo, seguridad, encontrar, autoridad, enero, vehículo, red, hombre, pesos, social, cártel, camioneta, municipio","zona, frío, norte, ambiente, temperatura, racha, municipio, viento, región, lluvia, sonoro, alto, coahuilo, seguridad, enero","periodista, serie, guadalajara, entrada, caribe, serie caribe, charro, local, comunidad, lucha, figura, mayo, campo, carrera, convención"
Mexico,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","periodista, mujer, aeropuerto, internacional, asesinato, pesos, aifa, encontrar, fiscalía, violencia, social, investigación, marzo, asesinar, hora","unidos, and, minuto, juego, punto, marzo, interesar, sismo, mundo, lugar, banda, march, recibir, gira, for","estadio, salud, social, red, familia, encontrar, partido, informar, médico, hospital, investigación, autoridad, fiscal, seguridad, gertz","obrador, periodista, ucrania, político, manuel, unidos, andrés, andrés manuel, manuel obrador, andrés manuel obrador, federal, rusia, grupo, partido, asegurar","salud, deber, federal, empresa, proceso, recurso, ley, presentar, mandato, revocación, reforma, social, secretaría, autoridad, instituto"
Michoacan,"estatal, electoral, partido, salud, federal, municipio, político, municipal, candidato, prd, secretaría, gobernador, morena, diputado, local","municipio, fiscalía, unidos, actividad, mujer, seguridad, municipal, noviembre, presentar, fge, investigación, evento, social, lograr, estatal","paso, may, cártel, presunto, remesa, alto, proteger, sat, sísmico, emplear, corazón, operar, calibre, cesar, sentimental","pesos, municipal, zitácuaro, municipio, dvo, bedolla, precio, acción, seguridad, encontrar, desarrollo, fiscalía, económico, estatal, trabajo","seguridad, com, hombre, www, www lavozdemichoacan com, www lavozdemichoacan, lavozdemichoacan com, lavozdemichoacan, com seguridad, lavozdemichoacan com seguridad, social, derecho, https www, https, https www lavozdemichoacan","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, lugar, publicar, llamado"
Morelos,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","guachochi, juárez, madera, nieve, tramo, temperatura, jano, guadalupe, zona, jueves, casa, creel, investigación, zaragoza, estatal","ana, encontrar, centro, luisa, ana luisa, víctima, estatal, servicio, colonia, justicia, garduño, seguridad, social, activista, blanco","frío, zona, norte, temperatura, racha, ambiente, viento, lluvia, periodista, sonoro, coahuilo, enero, alto, grado, nublado","docente, evento, atender, maestro, joven, seguridad, trabajador, federal, buscar, jojutla, zona, plaza, hospital, integrante, calor","dvo, morelia, equipo, grupo, liga, real, paso, atlante, copa, mundo, atletico, morelense, mujica, josé, error"
Nayarit,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","lluvia, frío, racha, temperatura, viento, ambiente, zona, norte, nublado, mínimo, sonoro, cielo, fuerte, temperatura mínimo, región","federal, seguridad, gobernador, obrador, pesos, enero, salud, social, vehículo, encontrar, estatal, grupo, lugar, presentar, secretaría","grado, sonoro, racha, frío, celsius, grado celsius, ambiente, zona, norte, coahuilo, salud, viento, tamaulipa, esperar, alto","seguridad, paso, alto, federal, cártel, proteger, presunto, hijo, josé, remesa, sombra, error, fiscalía, mercado, electoral","hijo, empresa, obrador, periodista, baker, josé, adams, loret, contrato, josé ramón, ramón, pemex, beltrán, federal, grupo"
Nuevo Leon,"gobernador, político, federal, municipal, tamaulipa, partido, trabajo, estatal, alcalde, morena, municipio, social, diputado, electoral, seguridad","records, fallecer, residente, festival, masculino, artista, masculino residente, you, álbum, bieber, justin, justin bieber, comorbilidad, rodrigo, femenino","banda, metal, álbum, paul, rock, música, tocar, escuchar, disco, grabar, canción, concierto, publicar, grupo, lugar","paso, presunto, aprender, cártel, hijo, alto, remesa, nuclear, error, calibre, cesar, operar, mercado, corazón, sat","partido, monterrey, minuto, equipo, lugar, gol, punto, encontrar, red, mujer, dejar, recibir, bayern, hombre, área","may, álbum, canción, vida, shakira, juan, karol, grupo, ganador, camilo, pablo, música, compositor, grammy, bunny"
Oaxaca,"electoral, seguridad, fiscalía, proceso, federal, febrero, policía, oax, enero, delito, investigación, autoridad, estatal, ine, ciudadano","aprender, efectivo, oax, mantener, programa, completo, estrategia, consejo, trabajo, descubrir, guía, conexión, social, gobernador, guía completo","periodista, humanos, mecanismo, derechos humanos, derechos, protección, federal, asesinato, enero, agresión, asesinar, defensora, comunicador, segob, autoridad","frío, norte, zona, racha, temperatura, viento, lluvia, ambiente, sonoro, grado, coahuilo, tamaulipa, fuerte, región, costa","pesos, periodista, federal, protección, josé, zona, enero, municipio, obrador, tonelada, informar, región, santiago, hijo, señalar","enero, febrero, salud, oax, contagio, lugar, mujer, pandemia, color, número, mayo, encontrar, secretaría, riesgo, deber"
Puebla,"dvo, periodista, mayo, mujer, enero, federal, morelia, grupo, mecanismo, derechos humanos, derechos, humanos, asegurar, autoridad, protección","efectivo, aprender, completo, mantener, pingback, conexión, guía, descubrir, guía completo, derecho, ley, seguridad, superar, deber, paso","federal, rosas, arma, seguridad, policía, facundo, furioso, rápido furioso, rápido, secretaría, rosa, garcía, periodista, operativo, garcía luna","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, lugar, publicar","seguridad, penal, bebé, enero, cuerpo, fiscalía, miguel, centro, encontrar, mujer, panteón, autoridad, estatal, tadeo, secretaría","frío, norte, zona, temperatura, ambiente, racha, viento, lluvia, encontrar, casa, autoridad, frente, nublado, grupo, enero"
Queretaro,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, información, directo, información directo","estadio, atlas, corregidora, violencia, liga, partido, red, social, joven, aficionado, red social, hora, video, seguridad, march","partido, equipo, presentar, mayo, gobernador, kuri, lugar, mauricio, local, juan, juárez, mujer, familia, recibir, javier","salud, agua, informar, municipio, gobernador, federal, zona, contar, servicio, estatal, secretaría, deber, social, seguridad, centro","efectivo, completo, aprender, descubrir, guía, conexión, guía completo, may, remesa, amigo, paso, mantener, estrategia, manejar, conversación","dvo, morelia, grupo, atletico, real, seccion, crt, crt morelia, colonia, guadalupe, tauro, colonia guadalupe, atapaneo, aldea, universidad"
Quintana Roo,"enero, anual, tasa, actividad, crecimiento, mayo, imss, empleo, instituto, registrar, económico, social, mujer, punto, nivel","frío, racha, lluvia, norte, viento, zona, ambiente, temperatura, sonoro, nublado, tamaulipa, golfo, coahuilo, grado, cielo","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, lugar, llamado, publicar","partido, ciudadano, palazuelos, político, cancún, gobernador, obrador, federal, roberto, enero, pesos, social, lugar, electoral, roberto palazuelos","efectivo, conexión, aprender, descubrir, completo, guía, guía completo, error, paso, superar, mantener, amigo, remesa, estrategia, auténtico","periodista, seguridad, federal, unidos, protección, enero, información, mecanismo, autoridad, derechos, derechos humanos, humanos, crimen, estatal, zona"
San Luis Potosi,"candidato, campaña, partido, iniciar, federal, domingo, pan, político, alemán, prd, municipal, mayoría, coalición, mujer, capital","gobernador, federal, mujer, potosino, capital, detener, social, recibir, paso, juan, efectivo, hombre, epidemia, josé, lugar","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, lugar, concierto, grupo, publicar","estatal, instituto, lic, may, secretaría, gobernador, social, centro, salud, slp, sistema, desarrollo, local, martínez, partido","salud, slp, maestro, federal, municipio, potosino, centro, jornada, reportar, esperar, destacar, elección, secretaría, lluvia, extraordinario","electoral, gobernador, may, diputación, tamaulipa, seguridad, ayuntamiento, escuela, social, contar, tampico, maestro, diputación ayuntamiento, clase, vida"
Sinaloa,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, publicar, lugar","mazatlán, gobernador, zona, turismo, secretario, grupo, centro, político, turístico, protección, tema, alto, mayo, desarrollo, estatal","mayo, arma, federal, seguridad, culiacán, rosas, mazatlán, penal, protección, policía, secretaría, mujer, civil, rápido furioso, rápido","salud, españa, gobernador, ordaz, enero, seguridad, quirino, mazatlán, embajador, secretaría, cártel, punto, quirino ordaz, federal, grupo","guzmán, enero, salud, culiacán, mazatlán, pesos, federal, contagio, autoridad, gobernador, chapo, unidos, juicio, municipio, deber","frío, temperatura, zona, norte, ambiente, racha, viento, lluvia, periodista, región, nublado, sonoro, grado, cielo, helada"
Sonora,"obrador, recibir, social, buscar, programa, estatal, pesos, seguridad, gobernador, lugar, tema, trabajar, atención, salud, equipo","litio, empresa, eléctrico, obrador, reforma, energía, nación, querer, mineral, encontrar, unidos, concesión, manuel, social, extranjero","frío, temperatura, zona, norte, lluvia, racha, viento, ambiente, grado, coahuilo, tamaulipa, fuerte, helada, nublado, mínimo","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, publicar, lugar","federal, enero, periodista, encontrar, salud, secretaría, autoridad, señalar, informar, seguridad, fiscalía, grupo, recibir, estatal, municipal","efectivo, completo, remesa, resolver, paso, descubrir, error, conflicto, guía, aprender, nuclear, resolver conflicto, conexión, guía completo, josé"
Tabasco,"efectivo, paso, descubrir, remesa, completo, aprender, conflicto, conexión, resolver, error, guía, nuclear, guía completo, resolver conflicto, seguridad","homicidio, chilapa, huimanguillo, cuerpo, agua, gobernador, menor, cifra, aumentar, exponer, continuar, viernes, edad, ujat, acusar","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, publicar, lugar","pesos, obrador, obra, federal, trabajador, trabajo, municipio, social, estatal, seguridad, manuel, secretaría, mujer, proyecto, centro","hijo, obrador, empresa, pemex, josé, federal, contrato, investigación, andrés, hospital, beltrán, político, adams, baker, manuel","frío, norte, zona, lluvia, racha, ambiente, viento, temperatura, sonoro, coahuilo, tamaulipa, fuerte, alto, grado, registrar"
Tamaulipas,"periodista, laredo, unidos, agencia, marcar, municipal, federal, gobernador, tel unidos, tel unidos marcar, unidos marcar, tel, rector, universidad, trabajo","tampico, salud, partido, electoral, electrónico, voto, pan, elección, victoria, local, encontrar, pesos, ciudadano, trabajo, deber","frío, norte, temperatura, zona, viento, ambiente, lluvia, racha, región, grado, sonoro, nublado, coahuilo, cielo, mínimo","partido, político, morena, villarreal, victoria, pan, precandidato, proyecto, marcar, américo, candidato, trabajo, pri, unidos, gobernador","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, grupo","tampico, seguridad, servicio, zona, municipal, ciudadano, electoral, norte, estatal, derecho, municipio, deber, victoria, secretaría, pedir"
Tlaxcala,"cultura, alejandra, ordoñez sol, alejandra ordoñez sol, alejandra ordoñez, ordoñez, secretaría cultura, secretaría, gobernador, arqueológico, sol, partido, tlaxcalteca, asegurar, arte","mujer, estatal, violencia, pesos, centro, liga, federal, seguridad, municipio, social, partido, servicio, nivel, programa, ingreso","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","mujer, gobernadora, salud, obrador, sheinbaum, secretaría, manuel, transformación, presidenta, marzo, derecho, febrero, jefa, andrés manuel, andrés","encontrar, efectivo, completo, dea, remesa, hijo, olimpiada, resolver, aprender, paso, conflicto, droga, advertir, conexión, error","frío, ambiente, viento, racha, temperatura, lluvia, norte, zona, sonoro, nublado, cielo, región, helada, grado, sierra"
Veracruz,"periodista, maldonado, asesinato, lourdes, tijuana, lourdes maldonado, asesinar, enero, martínez, protección, margarito, crimen, margarito martínez, asesinado, violencia","encontrar, enero, salud, registrar, efectivo, activo, seguridad, mayo, muerte, completo, pedir, mujer, número, secretaría, secretaría salud","comisión, federal, político, grupo, morena, monreal, senador, lozoya, proceso, pemex, recibir, estatal, director, deber, prisión","xalapa, calor, córdoba, ignacio, familia, ignacio córdoba, evitar, maestro, herrera, familiar, homenaje, fidel herrera, fidel, buscado, exgobernador","periodista, frío, norte, zona, temperatura, lluvia, ambiente, viento, racha, frente, protección, derechos, derechos humanos, humanos, mecanismo","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, grupo, llamado, publicar"
Yucatan,"mérida, yucatan, casa, salud, vida, municipio, morena, quedar, díaz, gobernador, lugar, vila, trabajo, importante, proceso","laboratorio, salud, estatal, laboratorio estatal, laboratorio estatal salud, estatal salud, zona, gobernador, políticahace, calle, lluvia, ciencia, viento, centro, frío","mujer, yucatan, cjng, and, estatal, gobernador, internacional, social, turismo, violencia, cozumel, hotel, mérida, red, local","lugar, yucatan, and, equipo, lluvia, mujer, salud, proceso, gobernador, federal, información, progreso, nivel, that, facebook","and, may, yucatan, salud, that, mérida, mayo, red, visa, huracán, presentar, gobernador, servicio, are, coronavirus","banda, metal, álbum, partido, morena, paul, electoral, rock, música, pan, tocar, diputado, deber, grupo, trabajo"
Zacatecas,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, lugar, llamado, publicar","frío, norte, temperatura, racha, zona, lluvia, ambiente, viento, coahuilo, sonoro, grado, tamaulipa, fuerte, nublado, helada","seguridad, municipio, enero, federal, febrero, quedar, secretaría, estatal, encontrar, salud, autoridad, capital, grupo, monreal, registrar","arte, exposición, presentar, museo, litio, unir, cultura, arqueológico, josé, noticia, unidos, mayo, grupo, relacionado, nota","deporte, cuerpo, zacatecano, fresnillo, copa, estatal, noticia, crónica, juanicipio, local, líder, impuesto, partido, zacateca, aguascalient","encontrar, efectivo, cuerpo, fresnillo, aguascalient, descubrir, autoridad, policía, zacateca, hombre, identificar, estrategia, vida, remesa, víctima"
Ciudad de México,"periodista, asesinato, violencia, mujer, humanos, derechos humanos, derechos, maldonado, lourdes, investigación, protección, enero, asesinar, federal, lourdes maldonado","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","pesos, deber, enero, federal, social, encontrar, señalar, trabajo, seguridad, mujer, dejar, presentar, contar, político, recibir","municipal, may, gas, juárez, precio, pingback, dif, laredo, programa, protección, civil, tamaulipa, elemento, protección civil, matamoro","seguridad, efectivo, federal, rosas, encontrar, droga, dea, conflicto, paso, completo, aprender, advertir, resolver, descubrir, potente","contagio, salud, dosis, muerte, vacunación, vacuna, pandemia, enero, covid, verdaguer, secretaría salud, reportar, número, diego, secretaría"
