state,dimension,avg_sentiment,mentions_count,percentage_of_total,videos_analyzed,comments_analyzed
Michoacán,Income,-0.40973487148350535,4941,32.032414910858996,300,15758
Michoacán,Access To Health Services,-0.49080882352941174,1088,7.053484602917343,300,15758
Michoacán,Educational Lag,-0.20971672250989948,3283,21.283630470016206,300,15758
Michoacán,Access To Social Security,-0.3853989813242784,589,3.818476499189627,300,15758
Michoacán,Housing,-0.5880733944954128,545,3.53322528363047,300,15758
Michoacán,Access To Food,-0.39710444674250256,967,6.26904376012966,300,15758
Michoacán,Social Cohesion,-0.1720725673446949,1819,11.79254457050243,300,15758
Michoacán,Other,-0.6260829913360693,2193,14.217179902755268,300,15758
