state,dimension,avg_sentiment,mentions_count,percentage_of_total,videos_analyzed,comments_analyzed
Puebla,Income,-0.4305511811023622,3175,34.000856714499896,300,9341
Puebla,Access To Health Services,-0.4372937293729373,909,9.734418505033197,300,9341
Puebla,Educational Lag,-0.1394335511982571,1836,19.6615977725423,300,9341
Puebla,Access To Social Security,-0.46178343949044587,314,3.362604412079674,300,9341
Puebla,Housing,-0.4436781609195402,435,4.658385093167702,300,9341
Puebla,Access To Food,-0.3460038986354776,513,5.49368173056329,300,9341
Puebla,Social Cohesion,-0.1764436296975252,1091,11.683443992289568,300,9341
Puebla,Other,-0.644131455399061,1065,11.405011779824374,300,9341
