state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Querétaro,Income,-0.44949968730456535,3198,300,8876
Querétaro,Access To Health Services,-0.4835164835164835,728,300,8876
Querétaro,Educational Lag,-0.16349017272185826,1679,300,8876
Querétaro,Access To Social Security,-0.6046195652173914,368,300,8876
Querétaro,Housing,-0.479020979020979,429,300,8876
Querétaro,Access To Food,-0.4438860971524288,597,300,8876
Querétaro,Social Cohesion,-0.10719530102790015,681,300,8876
