state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Aguascalientes,Income,-0.4450763730906727,3077,300,9892
Aguascalientes,Access To Health Services,-0.5903010033444817,1495,300,9892
Aguascalientes,Educational Lag,-0.23930963420917054,1941,300,9892
Aguascalientes,Access To Social Security,-0.6026490066225165,151,300,9892
Aguascalientes,Housing,-0.24152542372881355,472,300,9892
Aguascalientes,Access To Food,-0.3708513708513709,693,300,9892
Aguascalientes,Social Cohesion,-0.17586580086580086,924,300,9892
