state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
San Luis Potosí,Income,-0.4855721393034826,1005,300,3394
San Luis Potosí,Access To Health Services,-0.5320069204152249,578,300,3394
San Luis Potosí,Educational Lag,-0.28964194373401536,782,300,3394
San Luis Potosí,Access To Social Security,-0.36507936507936506,63,300,3394
San Luis Potosí,Housing,-0.46107784431137727,167,300,3394
San Luis Potosí,Access To Food,-0.5208333333333334,240,300,3394
San Luis Potosí,Social Cohesion,-0.34672619047619047,336,300,3394
