state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Baja California,Income,-0.42852087756546353,1413,300,3708
Baja California,Access To Health Services,-0.4874429223744292,438,300,3708
Baja California,Educational Lag,-0.14502529510961215,593,300,3708
Baja California,Access To Social Security,-0.3416666666666667,120,300,3708
Baja California,Housing,-0.4363957597173145,283,300,3708
Baja California,Access To Food,-0.43238993710691825,318,300,3708
Baja California,Social Cohesion,-0.10952380952380952,315,300,3708
