,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Chiapas,"riesgo, abeja, tapachula, madero, puerto madero, mosca, puerto, soconusco, vuelo, control, precio, función, construir, exigir, carretera, tuc, vuelo humanitario, humanitario, gusano, transportista, plaga, productor, mediterráneo, denunciar, gusano barrenador, barrenador, unidad, especie, medida, cine, modernizar, trump, melgar, maría luisa, smyt, turista, moscamed, seguro, producción, combatir, precio garantía, económico, tonelada, existir, luisa, familia, frontera, yamil melgar, yamil, operativo","banda, trabajo, social, vida, casa, comunidad, familia, metal, pesos, proyecto, programa, servicio, actividad, importante, desarrollo, forma, trabajar, educación, permitir, mujer, historia, agua, espacio, vivir, destacar, presentar, población, obra, música, económico, pueblo, estudio, buscar, región, existir, escuela, mencionar, joven, escuchar, señalar, tocar, llamado, paul, recurso, especie, local, mundo, explicar, nivel, alto","migrant, migración, tapachula, migratorio, autoridad, inm, frontera, unidos, instituto, extranjero, guatemala, instituto migración, precio, niño, agua, oficina, producción, asegurar, sofisticado, documento, migrante, tapachular, pesos, federal, caravana, pedir, tonelada, fronterizo, humanitario, migración inm, instituto migración inm, productor, operativo, atender, refugiado, producto, protesta, situación, buscar, trámite, indocumentado, familia, albergue, región, territorio, comisión, ayuda, enero, exigir, calle","salud, tuxtla, médico, hospital, contagio, tuxtla gutiérrez, gutiérrez, registrar, enfermedad, imss, informar, población, pandemia, paciente, estatal, reportar, atención, corzo, personal, nivel, riesgo, número, tasa, edad, muerte, atender, medida, juárez, chiapa, presentar, defunción, sanitario, tren, coronavirus, aplicar, covid, positivo, enero, unidad, activo, chiapa corzo, casa, habitante, menor, virus, equipo, dependencia, cifra, causa, palenque","mujer, violencia, autoridad, humanos, derechos, derechos humanos, periodista, derecho, federal, comunidad, político, seguridad, estatal, electoral, justicia, social, delito, casa, vida, pueblo, indígena, proceso, organización, cristóbal, señalar, obrador, armado, fiscalía, acción, comisión, ciudadano, manuel, ley, investigación, víctima, local, hombre, partido, enero, protección, crimen, libertad, cristóbal casa, defensa, situación, denuncia, red, familia, denunciar, juan","normalista, exigir, justicia, víctima, fraude, tuxtla, pedir, escuela, capital, elección, niña, vecino, jesús, maya, natural, participación, reubicación, pigmento natural, pigmento, alaín, evento, silencio, pedir justicia, pedir justicia jesús, silencio pedir justicia, reubicación escuela, silencio pedir, justicia jesús alaín, justicia jesús, jesús alaín, víctima fraude, gutiérrez, tuxtla gutiérrez, escuela normal, normal, normal rural, autoridad, policial, ciudadano, pesos, mujer, familia, persecución, chiapaneca, alto, escuela normal rural, fallecer persecución, persecución policial, fallecer persecución policial, elección judicial","frío, lluvia, temperatura, racha, ambiente, viento, luis, sonoro, fuerte, coahuilo, grado, costa, frente, región, golfo, febrero, nublado, mínimo, servicio, helada, alto, hora, elección, esperar, montañoso, protección civil, agua, cielo, protección, sierra, temperatura mínimo, civil, metro, mañana, caída, grado celsius, celsius, riesgo, frente frío, máximo, noreste, tehuantepec, oriente, condición, chubasco, ubicar, ambiente frío, semáforo, sureste, puntual","presunto, fiscalía, trasladar, elemento, policía, detener, vehículo, paso, tuxtla, seguridad, hijo, investigación, lesionado, cártel, sísmico, camioneta, tuxtla gutiérrez, gutiérrez, alto, médico, hombre, escándalo, víctima, calibre, operar, mercado, menor, corazón, autoridad, roto, cesar, proteger, particularmente, error, emplear, viajar, instancia, homicidio, sombra, girar, gestión, sat, sentimental, maquinaria, nuclear, imperio, alto calibre, reputación, remesa, aprender"
Queretaro,"empresa, proyecto, desarrollo, pesos, destacar, inversión, nivel, programa, sector, buscar, actividad, industria, trabajo, espacio, región, económico, producción, generar, mundo, importante, planta, producto, internacional, empleo, efectivo, director, paso, construir, mantener, completo, tecnología, crecimiento, compañía, servicio, aprender, oportunidad, construcción, estrategia, turismo, cultura, obra, permitir, mercado, descubrir, industrial, queretano, pueblo, crecer, objetivo, vino","seguridad, autoridad, servicio, agua, salud, informar, social, estatal, mujer, personal, señalar, hora, atención, presentar, hospital, unidad, violencia, médico, red, información, policía, vehículo, menor, vida, registrar, protección, medida, investigación, pesos, atender, fiscalía, trabajo, quedar, hombre, asegurar, transporte, juan, familia, sistema, qro, federal, empresa, tomar, ley, elemento, niño, civil, población, red social, situación","banda, metal, música, información, álbum, concierto, paul, festival, directo, rock, table, may, tocar, escuchar, halcón, canción, sitio, radiador, grabar, disco, evento, categoría, auditorio, hora, cooki, web, musical, vida, boleto, publicar, llamado, archivo, presentar, noche, sitio web, escenario, presentación, imprimir, historia, conurbado, teatro, asturias, gustar, artista, grabación, especial, orizar, magisterio, lopez, experiencia","lluvia, recorte, salud, confirmar, irregularidad, afectación, jalpan, alcalde, morén, nivel, autoridad, felipe, apagón, puga, jiménez, nublado, viento, sector, cielo, programa, imss, colón, calor, ángel balderas, evitar, balderas, grado, agua, balderas puga, ángel balderas puga, asegurar, gorra, trueba, unir, bienestar, habitante, sufrir, sombrero, gaspar trueba, gaspar, sequía, administración alcalde, manga, gorra sombrero, presupuestal, negar, puga confirmar, evitar afectación, balderas puga confirmar, recorte presupuestal","morelia, gallo, equipo, liga, partido, estadio, club, atletico, real, min, blanco, guadalupe, colonia, atlas, gallo blanco, futbol, jornada, fútbol, universidad, rio, jugar, monte, torneo, luis, chiva, aficionado, español, puma, jugador, puente, zapata, gol, falta, cancha, juego, azul, cruz, madero, veterano, vasco, minuto, sta, cruz azul, corregidora, femenil, palo, azteca, queretaro, área, castillo","asegurar, abuso, abuso sexual, sexual, soto, serie, clave, tom, cruise, tom cruise, sufrir, bárbara, julián, revelar, harvey, reiterar, disco, premier, gabriel, juicio, gil, fianza, weinstein reiterar, weinstein, regil, gabriel soto, harvey weinstein reiterar, bárbara regil, julián gil, harvey weinstein, clave juicio, vida, noticia, relacionado noticia, cdmx, relacionado, nota relacionado noticia, nota relacionado, nota, queretano, destino, presentar, actor, concierto, familia, folk, actriz, historia, productor, evento","museo, histórico, festival, mayo, resina, queretano, olimpiada, arte, artista, noticia, estadística, carambado, amor, artístico, documental, nota relacionado, relacionado noticia, presente, visitar, pieza, cine, nota relacionado noticia, poesía, pita amor, pita, director, nota, impulsar, relacionado, propuesta, cine documental, tecnologico, luis, presentación, maratón, compartir, corregidora, atleta, gallo negro, oro, negro, gallo, edición, victoria, uaq, pelea, colgar, diario, edición festival, red","gobernador, partido, político, diputado, proceso, estatal, justicia, universidad, ley, electoral, juan, investigación, manuel, mujer, federal, delito, iniciativa, domínguez, josé, kuri, pan, derecho, garcía, local, diputada, secretario, gonzález, cargo, francisco, morena, ciudadano, uaq, reforma, mauricio, luis, acción, autónomo, obrador, queretano, elección, política, pri, comisión, colegio, joven, educación, judicial, fernando, universidad autónomo, fiscalía"
Baja California Sur,"concierto, asegurar, homicidio, violencia, acusación, compositor, hermano, banda, juicio, guitarra, reiterar, clave, prueba, james, harvey, aniversario, fianza, conductora, pati, weinstein reiterar, harvey weinstein reiterar, tiesto, pati chapoy, acusación pati chapoy, acusación pati, clave juicio, syntek, weinstein, chapoy, bisogno, manzanero, harvey weinstein, guitarrista, productor, ron, judicial, disco, rock, violento, sonar, música, canción, nombre, venta, daniel, criminal, cártel, padre, artista, músico","paz, bcs, cabo, autoridad, servicio, seguridad, vehículo, salud, unidad, información, colonia, estatal, paz bcs, médico, investigación, informar, policía, personal, hospital, protección, elemento, atención, calle, finalmente, social, josé, mujer, área, cuerpo, agente, oficial, presentar, vida, proceso, número, atender, hora, procuraduría, indicar, justicia, delito, familia, acudir, edad, institución, enero, situación, civil, iniciar, tipo","banda, metal, gobernador, agua, paz, cabo, trabajo, señalar, álbum, tema, federal, paul, proyecto, castro, empresa, tocar, mujer, música, buscar, trabajar, social, escuchar, bcs, rock, unidos, estatal, llamado, vida, red, presentar, tratar, manuel, problema, violencia, publicar, grabar, recurso, mencionar, obrador, partido, asegurar, derecho, local, casa, pedir, tomar, importante, familia, proceso, autoridad","temperatura, mínimo, viento, cielo, máxima, hora, paz, máximo, despejado, efectivo, remesa, impulsar, kilómetro, máxima mínimo, conagua, región, nuclear, estrategia, descubrir, cielo despejado, liderazgo, agua, evento, alcanzar, comisión agua, esperar, magnitud, local, alto, cerca, plan, temperatura máximo, pepe, comisión agua conagua, agua conagua, presentar, servicio, mujico, josé, trump, mañana, nublado, registrar, cercano, diálogo, kilómetro hora, comunicación, intervalo, sismo, internet","paz, cabo, ballena, playa, mar, turístico, equipo, cultura, hotel, actividad, bcs, sudcaliforniano, turismo, comunidad, mundo, deporte, deportivo, categoría, destino, pueblo, evento, josé, local, loreto, participar, temporada, cultural, laguna, internacional, puerto, visita, arte, restaurante, mayo, gris, proyecto, instituto, ballena gris, natural, disfrutar, hora, lucas, importante, medalla, cabo lucas, agua, turista, ganar, social, destacar","pesos, registrar, cabo, activo, enero, salud, precio, contagio, tasa, cifra, nivel, alto, reportar, número, paz, febrero, luis, informar, pandemia, aumento, presentar, actividad, promedio, muerte, mantener, habitante, sumar, sonoro, información, menor, dato, defunción, semáforo, punto, económico, población, acumulado, positivo, hora, registrado, color, anual, sector, covid, incremento, ocupación, aumentar, riesgo, representar, empleo","paz, litro, agua, local, planta, turístico, mantener, alto, palmera, punto, capacidad, arbusto, instalar, cabo, bcs, puente, calor, iniciar, árbol, servicio, lucas, viernes, comondú, litro agua, cabo lucas, tramo, desabasto, malecón, asilo, casa, costa, flujo, vial, esperar, puente octubre, malecón paz, carretera, temporada, operar, vehicular, octubre, producto, afectar, proyecto, ola, producir litro, trabajador, atender, producir, noticia","lluvia, frío, ambiente, racha, viento, temperatura, sonoro, nublado, fuerte, costa, golfo, luis, cielo, grado, región, coahuilo, helada, chubasco, mínimo, alto, mañana, sierra, temperatura mínimo, frente, cielo nublado, montañoso, cálido, ambiente frío, celsius, grado celsius, pronóstico, puntual, esperar, especie, máximo, caída, aislado, marino, tolvanera, noroeste, lluvia aislado, noreste, caluroso, prever, pronosticar, península, probabilidad, frente frío, meteorológico, nieve"
Guanajuato,"frío, temperatura, ambiente, lluvia, viento, racha, grado, alto, agua, momia, cielo, aire, principal, mínimo, esperar, fuerte, calor, luis, sonoro, local, guitarra, región, sierra, espacio, mayo, mesa, coahuilo, credencial, trámite, noticia, autoridad, mañana, diputado, presentar, transporte, tránsito, helada, materia, celaya, cambio, máximo, evitar, diputado local, federal, medieval, comercial, buscar, capital, celsius, condición","seguridad, autoridad, mujer, policía, hombre, violencia, registrar, cártel, víctima, fiscalía, elemento, vehículo, informar, santa, enero, celaya, homicidio, reportar, federal, cuerpo, delito, josé, hora, investigación, irapuato, rosa, marro, criminal, estatal, menor, señalar, detener, número, salamanca, santa rosa, cifra, arma, operativo, calle, comunidad, colonia, vida, información, familia, edad, guardia, dato, unidad, casa, lima","detención, arma, hombre, colonia, policía, detener, arma fuego, fuego, oficial, calle, droga, motocicleta, fortalecimiento, fortalecimiento socialhace, socialhace, posesión, cerca, asegurar, previo, detención previo, industria, seguridad, asegurar arma, útil, comunicado, mujer, compromiso, sector, lograr, ciudadano, preventivo, protección, esquina, cargador, cartucho útil, ingresar, cartucho, delito, patrullaje, cristal, resultado, acción, leonés, seguridad prevención, inspección, prevención, robo, detenido, corto, enero","movilidad, policía, industria, destacar, orgánico, fiscal, foro, masacre, transporte, favor, director, trabajo, tomar, vía, tránsito, subsecretaría, vial, laboral, evento, anunciar, carril, corazón, ana, santa ana, cierre, santa, inaugurar, movilidad transporte, maratón, alterno, edificio, tránsito movilidad, tránsito movilidad transporte, subsecretaría tránsito, subsecretaría tránsito movilidad, anunciar cierre, cicur, inaugurar edificio, vía alterno, tajo, tajo santa, tajo santa ana, cicur inaugurar edificio, cicur inaugurar, maratón corazón, semáforo, aplicar, grave, necesidad, jornada","banda, metal, música, álbum, paul, rock, tocar, escuchar, historia, concierto, grabar, casa, canción, disco, publicar, mundo, vida, llamado, noche, evento, vivir, festival, estudio, recordar, gente, francisco, forma, quedar, grabación, nombre, convertir, equipo, creer, escenario, gustar, musical, tratar, presentar, carrera, oportunidad, hora, llamar, amigo, hablar, época, venir, lograr, artista, voz, empezar","mayo, salud, maestro, educación, ssg, familia, escuela, estudiante, apoyo, mayo ssg, desarrollo, personal, fortalecer, estatal, red, empresa, futuro, dolor, impulsar, programa, seg, servicio, joven, sector, discapacidad, trabajo, reforzar, habilidad, social, entrada, sostener, psicológico, gobernador, acercamiento, reciente, gto, caís, auxilio, personal salud, actividad, comienzo, apoyo familia, red apoyo, aliar, familia escuela, salud caís, gobernadora, estudiante discapacidad, maestro maestro, fortalecer red","dosis, droga, irapuato, detener, sintético, marihuana, droga sintético, arma, colonia, asegurar, masculino, dosis droga, cartucho, dosis droga sintético, joven, operativo, dosis marihuana, comunidad, robo, cargador, arma fuego, disposición, localizar, fuego, detener masculino, felipe, policía, número, presunto, masculino dosis, motocicleta, señalar, reporte robo, vehículo, calibre, reporte, seguridad, delito, ine, huanímaro, masacre, edición, noticia, fuerza, foro, cuerámaro, campaña, diverso, calle, tren","pesos, comisión, trabajador, ley, federal, político, derecho, señalar, tema, partido, presentar, trabajo, congreso, sindicato, derechos, humanos, derechos humanos, mujer, proceso, ciudadano, internacional, heavy, alcalde, miguel, justicia, pedir, celaya, titular, proyecto, comunidad, colectivo, servicio, diputado, gobernador, pagar, estatal, agua, reforma, pan, consejo, instituto, electoral, universidad, administración, recurso, presidenta, trabajar, ayuntamiento, asegurar, sesión"
Hidalgo,"bajista, metallica, demo, cavazo, club, perro, equipo, animal, paso, deportivo, estadio, paso minuto, presentar resultado, mtv, revolver, deporte, obsesivo, compulsivo, liga, título, pachuca, buscar, noticia, alto, presunto, hijo, sombra, operar, escándalo, torneo, campeón, mundial, nota, error, aprender, mundo, mayo, selección, particularmente, relacionado, proteger, roto, tuza, imperio, ruta, violencia, antecedente penal, máximo, mantener, políticamente","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, grabación, noche, gustar, vida, heavy, escenario, historia, éxito, evento, casa, parecer, creer, musical, voz, oportunidad, llamar, guitarrista, recordar, tema, estudio, trabajo, guitarra, amigo, tratar, and, gonzález, lograr, convertir, empezar, nombre, quedar, presentación, único, francisco, programa, mujer","mayo, james, redacción, criterio, criterio mayo, redacción criterio, redacción criterio mayo, mayo redacción, mayo redacción criterio, criterio mayo redacción, chihuahuense, you, iniciar, popular, sesión, comentar, cum, randy, black, cerrar, hora hombre, álbum estudio, constar tema, avant, interesar, mary, otoño, adicionar, alex, copiar, evento cabo, transmit, concierto banda, record, hija menor, balada, fire, iniciar sesión, sabor, suscribetir, iniciar sesión registratar, suscribetir comentar, registratar suscribetir comentar, sesión registratar suscribetir, sesión registratar, registratar, registratar suscribetir, cerrar sesión, suscribetir comentar popular, comentar popular","seguridad, colonia, hombre, policía, calle, pesos, miguel, pachuca, autoridad, hard, vehículo, mujer, delito, investigación, hora, cuerpo, elemento, juárez, arma, detener, vida, informar, respetable, rudy, reportar, unidad, presunto, fiscalía, ubicado, asegurar, edad, víctima, carretera, alcaldía, robo, quedar, servicio, violencia, fuego, justicia, casa, localizar, operativo, circular, protección, federal, personal, presentar, agua, plaza","salud, tula, head, hospital, pachuca, registrar, hora, noventa, riesgo, jon, harris, venta, espacio, afectar, contagio, huejutla, nota, felipe, noticia, señalar, estatal, liberar, orizatlán, felipe orizatlán, acción, relacionado, asegurar, continuar, pemex, paciente, enfermedad, detectar, cumplir, permitir, cambio, capacidad, médico, mejorar, relacionado noticia, nota relacionado, exigir, nota relacionado noticia, gasolina, lograr, combustible, imss, vacuna, tren, utilizar, policía","pachuca, smn, mujer, servicio, causar, tormenta, pulque, aprobar, fecha, tomar sorpresa, sorpresa condición, sorpresa condición climático, tomar sorpresa condición, sorpresa, condición climático smn, climático smn, cultural, mayo, multa, condición climático, detallar, transporte, utensilio, reducir riesgo, operar, utilizar, tomar, alcalde, promotor cultural, reducir, cuero, diputado, detallar trabajo, alcaldía, agosto, trabajo, mezquital, tizayuca, libre, dispositivo electrónico, extracción, promotor, peso, pachuca tizayuca, judicial, cuatrimestre, pendiente, directo, pendiente administración, trabajo pendiente","social, trabajo, estatal, pesos, electoral, partido, gobernador, desarrollo, político, proyecto, federal, programa, instituto, actividad, universidad, proceso, pachuca, servicio, local, destacar, educación, obra, comunidad, elección, recurso, buscar, señalar, nivel, morena, director, ciudadano, empresa, mujer, trabajar, secretario, derecho, acción, pri, familia, josé, pan, presentar, importante, apoyo, titular, administración, casa, alcalde, población, julio","frío, lluvia, temperatura, ambiente, viento, racha, agua, grado, luis, región, sonoro, fuerte, coahuilo, helada, nublado, alto, mínimo, cielo, sierra, golfo, frente, esperar, condición, costa, may, grado celsius, celsius, montañoso, temperatura mínimo, prever, máximo, nieve, aire, mañana, caída, morelia, pronosticar, conagua, mejorar imagen, pronóstico, cielo nublado, aguanieve, oriente, cálido, remesa, chubasco, noreste, metro, matutino, meteorológico"
Durango,"tip, tip tip, tip tip tip, dodge, grilla, columna, área, infonavit, srt, crédito, hellcat, verde, área verde, obtener, unidad, sistema, asegurar, recorrer, velocidad, llanero, recorrer recorrer, grilla llanero, motor, llanero grilla llanero, grilla llanero grilla, llanero grilla, deportivo, recorrer recorrer recorrer, srt hellcat, suv, modelo, ley, noticia, versión, número, riego, parecer, histórico, adoptar, permitir, formal, planilla, presencia, asistencia, informal, informalidad, video, tradicional, desarrollar, spaujed","seguridad, federal, salud, servicio, palacio, informar, autoridad, frío, gómez, estatal, político, gómez palacio, electoral, lluvia, calor, actividad, agua, protección, pesos, temperatura, josé, gobernador, región, mantener, ambiente, pan, empresa, alto, luis, candidato, equipo, atender, solicitar, registrar, enero, hospital, asegurar, violencia, viento, racha, mujer, número, villa, francisco, sonoro, social, temporada, proceso, venta, hora","programa, candidato, social, área, paz, seguro, área verde, verde, territorio, alcalde, asegurar, actividad, herrera, ujed, presentar, pedir, reconocer, informar, paro, cobaed, acción, trabajar, martínez, libertad expresión, estudiante, electoral, ley seco, espacio, rojo, sumar, docente, ciudadanía, pan, labor, semáforo, seguridad, expresión, sistema, político, cierre, bienestar, maestro, académico, seco, permanecer, periodista, junio, economía, verdaderamente, semáforo rojo","calor, elección, templado, museo, exposición, revocación mandato, muestra, noticia, ola calor, elección elección, ola, historia, magisterio, transformar vida, mafalda, arqueológico, temporada, josé, artista, encuentro, elección elección elección, fresco, cultura, amor, anonymous, vida, arte, publicidad, racha viento, sala, columna, alimento, pobre, inah, reconocimiento, punto encuentro, pequeño, trujillo, sitio, relacionado, duranguense, nota relacionado noticia, relacionado noticia, ignacio, nota relacionado, temporal, cocina, titulado, protagonizar, sala exposición","helada, publicidad, sexual, revelar, abuso, tom, cubano, soto, meningiti, paso, abuso sexual, meteorológico, error, reputación, asegurar, matutino, gabriel, noticia, roto, juicio, reino, serie, reino unido, sufrir, social, clave, gil, cerveza, gente, presunto, alto, servicio, presencia, pagar, futuro, julián, mundo, harvey, reiterar, cambio, cruise, inglés, tom cruise, johnny, head, alejandro, vida, bárbara, monreal, sorteo","participación, torneo, liga, club, equipo, deporte, caliente, profesional, campeón, duranguens, carrera, competencia, laguna, olimpiada, categoría, duranguense, futbol, nadador, gol, medalla, participar, jugador, santos, deportivo, deportista, noticia, juego, jornada, infantil, nota, relacionado, delegación, juárez, relacionado noticia, nota relacionado noticia, nota relacionado, noveno, itd, alto, ajedrez, alacrán, rumbo, your, gonzález, buscar, saltillo, casa, local, salvador, noveno duranguense","hombre, vida, accidente, morir, perder, joven, fallecer, gómez, gómez palacio, palacio, vehículo, edad, motocicleta, lesionado, pesado, impactar, metal, superar expectativa, menor, guitarrista, tocar, punk, lerdo, bajista, perder vida, vial, banda, riot, álbum, aumentar temporada, tenso, intentar, relacionado, representante distinto, parar actividad, seguridad gómez, seguridad gómez palacio, suspender labor, distinto, death, detener, unidad, nota, identificar, noticia, circular, permanecer, accidente vial, caer, relacionado noticia","banda, metal, música, álbum, rock, paul, vida, escuchar, historia, tocar, canción, tema, grabar, publicar, trabajo, casa, mujer, disco, concierto, familia, quedar, buscar, llamado, evento, convertir, recordar, lograr, morena, oportunidad, mayo, importante, creer, social, hablar, red, único, partido, mundo, tratar, joven, proyecto, nombre, programa, pedir, video, noche, vivir, llamar, resultado, presentar"
Jalisco,"relacionado noticia, nota relacionado noticia, nota relacionado, guadalajara, nota, campo, presentar, programa, docente, buscar, convención, relacionado, lucha, figura, magistrada, derecho, noticia, valle, niña, comunidad, niño, martín, gabriela, diputado, producción, occidental, seguro, barrenador, gusano, gusano barrenador, combatir, nivel, consumo, abuso sexual, niña niño, combatir gusano, combatir gusano barrenador, local, sexual, predio, edición, infantil, laboral, mujer, ley, ganado, ambiental, abuso, exigir, salto","mujer, fiscalía, víctima, cuerpo, policía, autoridad, desaparecido, violencia, investigación, delito, periodista, hombre, estatal, enero, seguridad, derechos, humanos, derechos humanos, colonia, vida, protección, justicia, desaparición, elemento, informar, homicidio, registrar, familiar, búsqueda, asesinato, familia, edad, reportar, asesinar, menor, joven, localizar, civil, señalar, denuncia, información, hora, calle, social, madre, federal, lesionado, guadalajara, ocurrir, morelia","banda, metal, álbum, paul, and, concierto, disco, rock, canción, llamado, tocar, for, letra, death, heavy metal, grabar, mustaine, volver, pesado, chamuco gonzález, parecer, aire, heavy, conocido, lars, you, bar, new, planeta, estudio, noche, leather, circuito, vehículo, publicar, recordar, metallico, éxito, programa, convertir, llamar, grabación, supuestamente, iron, riot, james, quiet, música, productor, dave","guadalajara, salud, pesos, servicio, gobernador, estatal, empresa, social, agua, trabajo, federal, sistema, unidad, alfaro, seguridad, transporte, proyecto, área, señalar, nivel, atención, registrar, desarrollo, hospital, económico, presentar, condición, universidad, médico, programa, trabajar, pandemia, autoridad, comunidad, enrique, medida, proceso, población, generar, ley, recurso, explicar, instituto, acción, atender, necesitar, enrique alfaro, información, tema, ciudadano","frío, temperatura, lluvia, viento, racha, ambiente, sonoro, luis, coahuilo, región, grado, alto, cielo, nublado, sierra, helada, esperar, costa, fuerte, mínimo, registrar, grado celsius, celsius, mañana, golfo, hora, cálido, frente, temperatura mínimo, prever, montañoso, máximo, caída, redacción, tormenta, noroeste, nieve, activo, enero, número, condición, matutino, probabilidad, chubasco, pronóstico, reportar, territorio, sísmico, noreste, luis sonoro","banda, metal, música, paul, álbum, rock, escuchar, tocar, grabar, canción, publicar, disco, llamado, grabación, concierto, vida, voz, noche, gustar, historia, musical, escenario, casa, creer, guitarrista, heavy, mustaine, guitarra, evento, oportunidad, chamuco, tema, trabajo, éxito, mujer, amigo, presentación, llamar, francisco, lograr, recordar, tratar, gonzález, lars, único, parecer, estudio, vivir, james, empezar","gente, guadalajara, serie, equipo, charro, juego, josé, carrera, historia, deporte, ganar, mundo, pueblo, casa, caribe, estadio, quedar, familia, cultura, importante, vida, entrada, domingo, tequila, liga, evento, buscar, juan, serie caribe, victoria, partido, unidos, lograr, martínez, luis, internacional, convertir, temporada, torneo, actividad, puerto, vivir, gonzález, permitir, punto, encuentro, cultural, producción, mayo, república","cártel, cjng, seguridad, criminal, generación, arma, droga, autoridad, cártel generación, presunto, policía, organización, federal, unidos, mencho, líder, detener, armado, fuerza, cartel, militar, organizado, guardia, vehículo, investigación, alto, oseguera, control, presencia, fiscalía, ejército, operar, crimen, asegurar, ataque, operativo, generación cjng, local, paso, hijo, hombre, calibre, josé, elemento, enfrentamiento, puerto, violencia, región, video, detención"
Tabasco,"señalar necesario, universidad, programa estímulo, indicar proceso, comunidad, ujat, cultural, académico, educación, historia, juárez, estudio, destacar, presentar, cultura, proyecto, carlos, director, sitio, maría, evento, escuela, trabajo, estudiante, maya, josé, desarrollo, ciencia, tabasqueño, instituto, joven, vida, actividad, educativo, mayo, arqueológico, investigación, exposición, villahermosa, familia, museo, investigador, autor, obra, arte, participar, autónoma, asegurar, parque, casa","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, publicar, grabación, noche, mustaine, gustar, vida, heavy, escenario, evento, casa, historia, éxito, llamar, musical, creer, voz, oportunidad, and, guitarrista, lars, heavy metal, chamuco, tema, recordar, tratar, trabajo, guitarra, estudio, parecer, amigo, nombre, huimanguillo gobernador, lograr, james, gonzález, chamuco gonzález, metallico","cunduacán, tránsito, agente, hombre, comalcalco, vida, carretera, agente tránsito, villahermosa, cárdenas, localizar, seguridad, ataque, presunto, señalado, huimanguillo, cárdena, ejecutar, homicidio, pleno, asegurar, policía, video, hallar, armado, morir, noticia, autoridad, familiar, pipa, atropellar, vial, autobús, relacionado, motociclista, patrulla, nota, desaparecer, caballo, nota relacionado noticia, nota relacionado, relacionado noticia, asesino, litro, violencia, manta, lunes, lesly, villahermós, huachicol","agua, programa, gobernador, obrador, construcción, homicidio, apoyo, estatal, may, menor, señalar, edad, planta, continuar, aumentar, operación, viernes, josé, cuerpo, exponer, base, pesos, empresa, obra, huimanguillo, asociación, acusar, pedir, proceso, cifra, menor edad, adolescente, carta, javier, creación, cocodrilo, ujat, festival, javier may, federal, injustamente, identidad, lesly, noticia, mixto, indicar, artístico, desarrollo, calcinado, construcción base","liga, equipo, torneo, tabasqueño, villahermosa, puma, club, participación, participar, fútbol, olimpiada, ganar, deportivo, juego, campeonato, deporte, estadio, expansión, jugar, deportista, bronce, ángel, categoría, liga expansión, americano, toro, función, junio, evento, fútbol americano, noticia, partido, esperar, ortiz, lucha, libre, celaya, clasificar, hermana, título, macer ángel, encuentro, macer, lucha libre, dorado, mayo, corredor, hernández, niño, ángel ortiz","salud, registrar, enero, número, luis, reportar, contagio, alto, hospital, hora, febrero, tasa, informar, muerte, activo, enfermedad, paciente, actividad, riesgo, nivel, instituto, color, pandemia, defunción, médico, anual, sumar, sonoro, imss, presentar, semáforo, cifra, social, mantener, positivo, trabajo, verde, puesto, punto, atención, amarillo, población, registrado, medida, personal, mujer, naranja, confirmado, aumento, iniciar","lluvia, frío, racha, ambiente, viento, temperatura, fuerte, golfo, luis, frente, grado, costa, río, sonoro, región, coahuilo, nublado, metro, agua, helada, mínimo, sierra, cielo, inundación, frente frío, montañoso, alto, temperatura mínimo, chubasco, sureste, grado celsius, celsius, protección, mañana, hora, ambiente frío, civil, máximo, protección civil, esperar, tehuantepec, nivel, pronóstico, puntual, oriente, condición, prever, aire, noreste, caída","cunduacán, seguro, tránsito, declarar, ayuntamiento, paraíso, servicio, unidad, alto, civil, miércoles, ayuntamiento paraíso, falta, calor, protección, onda, juan graham, graham, cobrar, protección civil, juan, animal, bienestar, pvem, establecimiento, llamar, temperatura, acondicionado, aire acondicionado, grado, trabajar, aborto, cobrar declarar, declarar seguro establecimiento, cobrar declarar seguro, declarar seguro, seguro establecimiento, tránsito ejecutado cunduacán, tránsito ejecutado, ejecutado cunduacán, ejecutado, ganadero, aire, imss, onda calor, equipo, gusano, gusano barrenador, barrenador, trabajar equipo"
