state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Guerrero,Income,-0.44703872437357633,878,300,10180
Guerrero,Access To Health Services,-0.2991913746630728,742,300,10180
Guerrero,Educational Lag,-0.057410881801125704,2665,300,10180
Guerrero,Access To Social Security,-0.2465034965034965,572,300,10180
Guerrero,Housing,-0.36357702349869453,766,300,10180
Guerrero,Access To Food,-0.3298611111111111,288,300,10180
Guerrero,Social Cohesion,-0.04590459045904591,1111,300,10180
