state,dimension,avg_sentiment,mentions_count,videos_analyzed,comments_analyzed
Campeche,Income,-0.35801348547717843,3856,300,11929
Campeche,Access To Health Services,-0.4988540870893812,1309,300,11929
Campeche,Educational Lag,-0.129644921552436,2422,300,11929
Campeche,Access To Social Security,-0.34831460674157305,267,300,11929
Campeche,Housing,-0.559245960502693,557,300,11929
Campeche,Access To Food,-0.3923872180451128,1064,300,11929
Campeche,Social Cohesion,0.007226738934056007,1107,300,11929
