,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Aguascalientes,0.00882673345159456,0.1397285350475769,0.09188148120199367,0.2488165717684557,0.08675775053582147,0.19949702519466772,0.053668914266326015,0.16518589118035737
Baja California,0.059500235606432667,0.1481571811318096,0.10541354142385564,0.055968778650034315,0.22707001868375196,0.2840039762657271,0.07198121620638705,0.04303303980184459
Baja California Sur,0.05905085357763355,0.13647172107485778,0.14770930480999264,0.08309857770186595,0.01364175838091797,0.22758724884883497,0.26368253421582377,0.06353732387380914
Campeche,0.008816468461394543,0.07735049193517002,0.38769144813263723,0.07232589168934292,0.15690903326622596,0.06298807933589841,0.1141044018576856,0.11507507084476973
Chiapas,0.23369035369809135,0.14790843021213484,0.12920804332401573,0.09144677324054423,0.03318924830981826,0.27494176877207344,0.0436033427284697,0.041260563771898184
Chihuahua,0.07378010067579237,0.39002407158635566,0.20419642822150116,0.1728962074260811,0.042226459519663875,0.015451464232414915,0.04409011427108285,0.05255950121834587
Coahuila,0.31830844771559985,0.05501781860287503,0.09613768845802403,0.1365080533810176,0.05884678913396731,0.07128025028070818,0.1061716482349967,0.15297978635921422
Colima,0.21222566638810553,0.3732919523259526,0.04377085800959658,0.022616523199151015,0.18426167702750765,0.028468364695588586,0.07633515540312347,0.053352690584678716
Durango,0.05903066177026461,0.04762108037990925,0.18495082089655646,0.1294925408806098,0.04186022343158867,0.07645938437562069,0.02990304757183636,0.42471480815088564
Guanajuato,0.02784207326523525,0.3348292702086966,0.20770290422833668,0.12458000196161882,0.16103801732886786,0.0435287356638562,0.061716717572933844,0.03403859430557815
Guerrero,0.058652536496675144,0.06355597610548314,0.29260231597330144,0.18939496744511347,0.15405830844239296,0.011782328257709935,0.16332951922676323,0.062170219235655355
Hidalgo,0.09917494464148792,0.1735454870394413,0.2775897642228603,0.09210949766760071,0.04433846733521469,0.080292822476834,0.13304068183747444,0.0952917859616509
Jalisco,0.08784025711033916,0.04533865662533728,0.05217299347404859,0.04159461582517378,0.10785004171530647,0.2802534907508591,0.2566186778103635,0.12376797977205622
Mexico,0.06919729137933191,0.14458212228178624,0.025093979284784563,0.22899208404684587,0.09351656688114263,0.1341759832032517,0.13978676938090592,0.16038056137175624
Michoacan,0.0949324739532369,0.10350801648450021,0.09398022131797704,0.09072754525402063,0.26537957241152893,0.12677169459119203,0.04180411343718201,0.17853993436409776
Morelos,0.034012556283435705,0.16884181423183003,0.06291441887016345,0.04731731096911289,0.03927234657549226,0.35205787132499555,0.09487894137310697,0.19585919912410918
Nayarit,0.010225807093657962,0.1919036131412786,0.032726958393412706,0.08999919896715716,0.29954032714236273,0.12893899407091053,0.17342838464170848,0.0683657225065112
Nuevo Leon,0.10135774272635127,0.1953588922911634,0.07347367529587989,0.04217627366158095,0.18086476575978325,0.17982013955514764,0.06496269530927141,0.157432553170136
Oaxaca,0.14510990796110745,0.15301670112499854,0.04108504851487935,0.0725026448662138,0.0766807904744658,0.09773348028242318,0.2338475048054894,0.17559939439162509
Puebla,0.09996455814407877,0.09327604912076065,0.23821701158854652,0.22158611403646647,0.09151227544255065,0.08823511394533638,0.03366480310536833,0.12935726098254566
Queretaro,0.21115799696642332,0.013831917013346582,0.3566513001762189,0.041279436387088475,0.04988080622275281,0.030513072852321983,0.17143040690410594,0.12054630342413866
Quintana Roo,0.0791654136121842,0.051633770893794825,0.08876220204743705,0.2661539630679233,0.03696936960206928,0.12812498244966689,0.23468347188893648,0.10993822675287566
San Luis Potosi,0.22089636692416764,0.030755512902453062,0.02921318586164665,0.4175954516346176,0.1801487739741682,0.051094973087911645,0.037754948122667206,0.02788095441646874
Sinaloa,0.014973103915523181,0.23565999027876847,0.2607798405933654,0.17203326901685004,0.027528444596591237,0.035810352240285885,0.1952358477756067,0.053479080150167946
Sonora,0.15025956987670883,0.07477880194388824,0.05185343350806699,0.36638880758059156,0.06717574394866356,0.03423390757505077,0.22001691953048963,0.0296612990052163
Tabasco,0.024749301396336656,0.10026468967018458,0.010299584019086701,0.06903939202046121,0.03458174685634962,0.13174173090863617,0.47511396573645853,0.14955873115501586
Tamaulipas,0.20545579471043687,0.06497365946292023,0.24009534838177535,0.09947484242202395,0.06883146697022383,0.22258790909931395,0.03874758836458912,0.05526677156284872
Tlaxcala,0.0811087493160232,0.044715127578242066,0.07453507014990741,0.07001702090815412,0.23999997209487617,0.09258787013467909,0.05428156400223725,0.33649330802819216
Veracruz,0.16122322514479,0.1361114653633635,0.29114634081167423,0.09098319379787008,0.07244708522555711,0.06702514320134009,0.04734478120332499,0.1285060564056039
Yucatan,0.09617536901868172,0.07260933499376045,0.12072625008284224,0.22456381080084314,0.10827512687888984,0.0891234455715761,0.1259128329791459,0.15923794228919982
Zacatecas,0.14660071680091652,0.04586769587296459,0.15269688994290478,0.10954920781808393,0.24987246137327881,0.006544084923791642,0.21803460264597227,0.06588956130578325
Ciudad de México,0.009329937752605634,0.2803310919789156,0.19039066398103596,0.12654094525606738,0.15880788220756104,0.03750307792643046,0.04919438455317025,0.14332576754385393
